area,year,rain
108,1907,126.6
108,1908,1066.3
108,1909,827
108,1910,1020.9
108,1911,1067
108,1912,1129.3
108,1913,917.5
108,1914,1262.6
108,1915,1578.3
108,1916,1710.3
108,1917,981.7
108,1918,1132.3
108,1919,1176.3
108,1920,1674.4
108,1921,971.9
108,1922,1552.8
108,1923,1194.7
108,1924,1001
108,1925,1934.1
108,1926,1822.5
108,1927,1269.7
108,1928,1054.3
108,1929,1130.2
108,1930,1626.6
108,1931,1388.3
108,1932,941.2
108,1933,1400.8
108,1934,1244.6
108,1935,1202.3
108,1936,1531.6
108,1937,1062.7
108,1938,1058.8
108,1939,638.7
108,1940,2145.1
108,1941,1063.7
108,1942,1131
108,1943,642.9
108,1944,1089.1
108,1945,1561.7
108,1946,1519.4
108,1947,1496.4
108,1948,1473.3
108,1949,623.5
108,1950,798.2
108,1951,48.3
108,1952,1073.9
108,1953,1372.2
108,1954,1385.8
108,1955,1230.7
108,1956,1701.1
108,1957,1220.3
108,1958,1325.4
108,1959,1370.8
108,1960,1188.4
108,1961,1436.6
108,1962,986.2
108,1963,1626.6
108,1964,1794
108,1965,1216.3
108,1966,2018.9
108,1967,1248.8
108,1968,1288.2
108,1969,1736.8
108,1970,1708.2
108,1971,1359.7
108,1972,1769.6
108,1973,928.1
108,1974,1250.7
108,1975,1067.4
108,1976,1109.5
108,1977,1147.5
108,1978,1160.9
108,1979,1279.4
108,1980,1242.4
108,1981,1216.2
108,1982,949.3
108,1983,1205.1
108,1984,1249.5
108,1985,1544.6
108,1986,1247.4
108,1987,1751.4
108,1988,760.8
108,1989,1437.1
108,1990,2355.5
108,1991,1158.2
108,1992,1454.9
108,1993,1292.7
108,1994,1055.8
108,1995,1598.6
108,1996,1256.6
108,1997,1210.2
108,1998,2349.1
108,1999,1733.1
108,2000,1186.8
108,2001,1386
108,2002,1388
108,2003,2012
108,2004,1499.1
108,2005,1358.4
108,2006,1681.9
108,2007,1212.3
108,2008,1356.3
108,2009,1564
108,2010,2043.5
108,2011,2039.3
108,2012,1646.3
108,2013,1403.8
108,2014,808.9
108,2015,792.1
108,2016,991.7
108,2017,1233.2
